author_name,link_author_profile,title,url
Sean Hollister,https://www.theverge.com/authors/sean-hollister,AnkerMake M5 3D printer review: speed is not enough,https://www.theverge.com/23612429/ankermake-m5-review-3d-printer
Sean Hollister,https://www.theverge.com/authors/sean-hollister,Anker’s first 3D printer might be the one you’ve been waiting for,https://www.theverge.com/23012424/anker-first-3d-printer-ankermake-m5-price-specs-launch
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,How to make your HomePod alert you when your smoke alarms go off,https://www.theverge.com/23691037/apple-homepod-sound-recognition-smoke-alarm-how-to-set-up
Allison Johnson,https://www.theverge.com/authors/allison-johnson,How to follow live sports scores on your iPhone lock screen,https://www.theverge.com/23693319/iphone-live-activities-sports-lock-screen-apple-tv-mlb
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,How to upgrade to the new Apple Home architecture,https://www.theverge.com/23512574/apple-home-architecture-new-upgrade-how-to
Daniel Golson,https://www.theverge.com/authors/daniel-golson,Rivian R1S review: king of the mountain,https://www.theverge.com/23688504/rivian-r1s-review-ev-photos-specs-price
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Here are the best Kindle deals right now,https://www.theverge.com/21539047/best-amazon-kindle-deals
Andrew Webster,https://www.theverge.com/authors/andrew-webster,All of my favorite games this year are old,https://www.theverge.com/23692541/retro-games-remakes-remasters-2023-final-fantasy-advance-wars
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,The best tech gifts for under $50,https://www.theverge.com/23161828/best-cheap-tech-gadgets-under-50
Abigail Bassett,https://www.theverge.com/authors/abigail-bassett,BMW i7 xDrive60 review: the one with the 31-inch movie screen in the back,https://www.theverge.com/23686915/bmw-i7-xdrive60-review-photos-specs-price
Nilay Patel,https://www.theverge.com/authors/nilay-patel,"Why charging phones is such a complex business, with Anker CEO Steven Yang",https://www.theverge.com/22769839/anker-battery-charger-gan-amazon-apple-mfi-lightning-iphone-magsafe-decoder
Victoria Song,https://www.theverge.com/authors/victoria-song,Lululemon Mirror review: a reflection of at-home fitness,https://www.theverge.com/23681859/lululemon-mirror-review-at-home-fitness
Chris Welch,https://www.theverge.com/authors/chris-welch,Apple’s new HomePod plays it safe,https://www.theverge.com/23578606/apple-homepod-2-second-gen-2023-siri-smart-speaker-review
Sean Hollister,https://www.theverge.com/authors/sean-hollister,Anker finally comes clean about its Eufy security cameras,https://www.theverge.com/23573362/anker-eufy-security-camera-answers-encryption
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,Matter’s plan to save the smart home,https://www.theverge.com/22787729/matter-smart-home-standard-apple-amazon-google
Alex Cranz,https://www.theverge.com/authors/alex-cranz,Amazon Kindle Scribe review: absolutely adequate,https://www.theverge.com/23484927/amazon-kindle-scribe-e-reader-notetaking-pen-review
Jennifer Pattison Tuohy,https://www.theverge.com/authors/jennifer-tuohy,Apple’s new Home app in iOS 16 is better but still half-baked,https://www.theverge.com/23279283/apple-homekit-home-app-ios16-preview
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Here are the best Amazon Echo deals right now,https://www.theverge.com/21546591/best-amazon-echo-deals
Antonio G. Di Benedetto,https://www.theverge.com/authors/antonio-g-di-benedetto,Here are the best iPad deals right now,https://www.theverge.com/21280354/best-ipad-deals-apple
Alex Cranz,https://www.theverge.com/authors/alex-cranz,Apple might have fixed the notch by putting it on an island,https://www.theverge.com/23341555/apple-iphone-14-pro-max-notch-dynamic-island-fix
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,The new entry-level Kindle is the one to buy,https://www.theverge.com/23409106/amazon-kindle-2022-e-reader-review-test-price-specs-features
Sheena Vasani,https://www.theverge.com/authors/sheena-vasani,Kobo Clara 2E review: slow reader,https://www.theverge.com/23542918/kobo-clara-2e-ereader-review-amazon-kindle
Monica Chin,https://www.theverge.com/authors/monica-chin,What’s it like to use a $300 Windows laptop for a day?,https://www.theverge.com/23677127/hp-14-budget-laptop-review-specs-features-price
Chaim Gartenberg,https://www.theverge.com/authors/chaim-gartenberg,Amazon Kindle Paperwhite (2021) review: a bigger and better book,https://www.theverge.com/22745670/amazon-kindle-paperwhite-2021-review-usb-c-signature-edition-display-e-reader-books
Adi Robertson,https://www.theverge.com/authors/adi-robertson,The Dead Space remake is a grisly cut of classic horror,https://www.theverge.com/23567481/dead-space-remake-ea-motive-ps5-xbox-pc-review
Andrew Webster,https://www.theverge.com/authors/andrew-webster,"PlayStation 5 review: a big, confident step into next gen",https://www.theverge.com/21550146/sony-playstation-5-ps5-review
Charles Pulliam-Moore,https://www.theverge.com/authors/charles-pulliam-moore,"The Mandalorian’s season 3 premiere was a return to simpler, safer Star Wars storytelling",https://www.theverge.com/23620519/the-mandalorian-season-3-premiere-the-apostate
Brandon Widder,https://www.theverge.com/authors/brandon-widder,Here are the best Apple Watch deals right now,https://www.theverge.com/21289209/best-apple-watch-deals
Andrew Webster,https://www.theverge.com/authors/andrew-webster,Resident Evil 4 remake is a modern blockbuster with an old-school heart,https://www.theverge.com/23642938/resident-evil-4-remake-review-xbox-ps5-steam
Andrew Webster,https://www.theverge.com/authors/andrew-webster,Advance Wars 1+2: Re-Boot Camp shows that great games age beautifully,https://www.theverge.com/23688312/advance-wars-reboot-camp-review-nintendo-switch
Charles Pulliam-Moore,https://www.theverge.com/authors/charles-pulliam-moore,Stranger Things 4 cranks everything up way past eleven,https://www.theverge.com/23067333/stranger-things-4-review
